Hindi,Tulu
नमस्ते,ನಮಸ್ತೆ
सुप्रभात,ಶುಭೋದಯ
शुक्रिया,ಸೊಲ್ಮೆಲು
शुभ संध्या,ಬಯ್ಯದ ಎಡ್ಡೆಪ್ಪುಲು
माफ करें,ತಪ್ಪಾಂಡ್
कृपया,ದಯಮಲ್ತುದು
सहायता,ಸಹಾಯ
खुश,ಸಂತೋಷ
दुखी,ದುಃಖ
सच्चा,ಸತ್ಯವಂತ
झूठ,ಸುಳ್ಳು
जल्दी,ಬೇಗ
धीरे,ನಿಧಾನ
अच्छा,ಏಡ್ಡೆ
छुट्टी,ರಜೆ
काम,ಬೇಲೆ
लोग,ಜನ
चुनना,ಅರ್ತ್‌ದ್
जिद्दी,ಛದಿ
"दादा,नाना",ಅಜ್ಜೆರ್;ಅಜ್ಜ
"दादी,नानी",ಅಜ್ಜಿ
जंगल,ಕಾಡ್
खाली,ಖಾಲಿ
भरा हुआ,ಇಡೀ
हम,ನಮ
बाधा,ಅಡೆತಡೆ
माथा,ನೆತ್ತಿ
सास,ಅತ್ತೆ
ससुर,ಮಾಮು
नहीं,ಇಜ್ಜಿ
भाग्य,ನಸೀಬು
चमत्कार,ಪವಾಡ
अनाथ,ಅನಾಥೆ
संदेह,ಸಂಶಯ
नास्तिकता,ಅಪನಂಬಿಕೆ
अनादर,ಅಗೌರವ
अपराध,ಅಪರಾಧ
माँ,ಅಪ್ಪೆ
पिता,ಅಮ್ಮೆ
भाई,ಪಲಯೆ
बड़ी बहन,ಅಕ್ಕ
छोटी बहन,ಮೆಗ್ದಿ
राय,ಅಭಿಪ್ರಾಯ
जुड़वां,ಅವಳಿ
अपवित्र करना,ಅಪವಿತ್ರ
अयोग्य,ಅಯೋಗ್ಯ
महल,ಅರಮನೆ
चावल,ಅರಿ
प्रसाद,ಅರ್ಪಣೆ
अवतार,ಅವತಾರ
दुर्भाग्य,ದುರದೃಷ್ಟ
गर्व,ಪೆರ್ಮೆ
यहाँ,ಮುಲ್ಪ
वहाँ,ಅಲ್ಪ
अँगूठी,ಉಂಗುರ
साँप,ಸರ್ಪ
गुस्सा,ಕೋಪ
भोजन,ಒಣಸ್
नमक,ಉಪ್ಪು
परेशान करना,ಉಪದ್ರ
एक सेवा,ಒಂಜಿ ಸೇವೆ
होना,ಅವೊಡಾಯಿನ
अचार,ಉಪ್ಪಡ್
गर्मी,ಬೆಚ್ಚ
बुखार,ಜ್ವರ
फूँक मारना,ಉರ್ಪುನು
अनुमान,ಊಹೆ
तेल,ಎಣ್ಣೆ
कैसे,ಎಂಚ
कहाँ,ಒಲ್ಪ
गिनती करना,ಲೆಕ್ಕ
काली मिर्च,ಎಡ್ದೆ ಮುಂಚಿ
ऊंचा,ಎತ್ತರ
एक,ಒಂಜಿ
दो,ರಡ್ಡ್
तीन,ಮೂಜಿ
चार,ನಾಲ್
पाँच,ಐನ್
छह,ಆಜಿ
सात,ಏಳ್
आठ,ಎಣ್ಮ
नौ,ಒರಂಬ
दस,ಪತ್ತು
चूहा,ಎಲಿ
पत्ता,ಇರೆ
फूल,ಪೂ
जड़,ಬೇರ್
संगीत,ಪದ್ಯ
नृत्य,ನಲ್ಪು
चढ़ना,ಏರುನ
जागो,ಲಕ್ಕ್
सो जाओ,ಜೆಪ್ಪು
रविवार,ಅಯಿತಾರ
सोमवार,ಸೋಮಾರ
मंगलवार,ಅಂಗಾರೆ
बुधवार,ಬುದಾರ
गुरुवार,ಗುರುವಾರ
शुक्रवार,ಶುಕ್ರಾರ
शनिवार,ಶನಿವಾರ
छाता,ಕೊಡೆ
बारिश,ಬರ್ಸ
खाना किया?,ತಿಂಡಿ ಆಂಡ?
क्या तुमने ख़त्म कर दिया?,ಈರ್ ಮುಗಿತರ?
आप कहाँ से हैं?,ಈರ್ ಒಲ್ಪದಾರ್?
आप नाराज हो गए क्या?,ಇರೆಗ್ ಕೋಪ ಉಂಡಾ?
वह कैसी है?,ಆಲ್ ಎಂಚ ಉಲ್ಲಾಲ್?
दोपहर का भोजन किया?,ಮಧ್ಯಾಹ್ನದ ವನಸ್ ಆಂಡ?
आपको क्या हुआ?,ಇರೆಗ್ ದಾದ ಆಂಡ್?
मैं मैंगलोर से हूं,ಯಾನ್ ಮಂಗಳೂರುಡ್ದ್
मैं रात के खाने के लिए बाहर जा रहा हूँ,ಯಾನ್ ವನಸ್ಗು ಪಿದಯಿ ಪೋವೊಂದುಲ್ಲೆ
आपको यहाँ देखकर ख़ुशी हुई,ನಿಕುಲೆನ್ ಮುಲ್ಪ ತೂದು ಖುಶಿ ಆಂಡ್
कल मैं घर गया,ಕೋಡೆ ಯಾನ್ ಇಲ್ಲಗ್ ಪೋಯೆ
एक भावुक आदमी,ಒರಿ ಉತ್ಸಾಹಿ ಮನುಷ್ಯೆ
परसों,ಯೆಲ್ಲೆಂಜಿ
नीचे उतरो,ತಿರ್ತು ಜಪ್ಪುಲೆ
पेड़ पर चढ़ो,ಮರಕ್ ಏರುಲೆ
क्या आप आ सकते हैं?,ಈರ್ ಬರೊಲಿಯಾ?
आपका क्या नाम है?,ನಿನ್ನ ಪುದರ್ ದಾದ?
आप कैसे हैं?,ಯೀರ್ ಎಂಚ ಉಲ್ಲರ್?
हमारी परीक्षा है,ಎಂಕ್ಲೆಗ್ ಪರೀಕ್ಷೆ ಉಂಡು
सभी को नमस्कार,ಮಾತೆರೆಗ್ಲಾ ನಮಸ್ಕಾರ
चलो कल मंदिर चलें,ಎಲ್ಲೆ ಯೆಂಕ್ಲ್ ದೇವಸ್ಥಾನೊಗು ಪೋಯಿ
इसकी कीमत कितनी होती है?,ಉಂದೆಕ್ ಏತ್ ಖರ್ಚು ಆಪುಂಡು
मुझे किस दिशा में जाना चाहिए?,ಯಾನ್ ಒವ್ವೆ ದಿಕ್ಕ್ ಗ್ ಪೋವೊಡು?
मुझे क्या खरीदना चाहिए,ಯಾನ್ ದಾದ ದೆತೊನೊಡು
मेरे घर आओ,ಎನ್ನ ಇಲ್ಲಗ್ ಬಲೆ
भगवान आपका भला करे,ದೇವೆರ್ ಎಡ್ಡೆ ಮಾಲ್ಪಡ್
अब समय क्या है?,ಗಂಟೆ ಏತಾಂಡ್
बहुत दिनों से मुलाकात नहीं हुई,ಮಸ್ತು ಸಮಯ ಆಂಡು ತೂವಂದೆ
क्या आप तुलु बोलते हैं?,ನಿಕ್ಲೆಗ್ ತುಳು ಗೊತ್ತುಂಡಾ?
कृपया उसे फिर से कहें,ದಯಮಲ್ತ್ ಅವೆನ್ ಪುನರ್ ಪನ್ಲೆ
आपकी क्या उम्र है?,ಈರೆಗ್ ಏತ್ ಪ್ರಾಯ ಆಂಡ್?
मैं समझ सकता हूँ,ಎಂಕ್ ಅರ್ಥ ಆಪುಂಡು
आगे बढ़ो,ದುಂಬು ಪೋಲೆ
मुझें नहीं पता,ಎಂಕು ಗೊತ್ತು ಇಜ್ಜಿ
पीछे जाओ,ಪಿರ ಪೋಲೆ
आप इसे तुलु में क्या कहेंगे?,ಉಂದೆನ್ ತುಳುಟ್ ಎಂಚ ಪನ್ಪೆರ್?
धीरे - धीरे बात करें,ದಯಮಲ್ತ್ ನಿಧಾನವಾದ್ ಪಾತೆರ್ಲೆ
यह कितने का है?,ನೆಕ್ಕ್ ಏತ್
मुझे प्यास लगी है,ಎಂಕ್ ಬಾಜೆಲ್ ಆವೊಂದುಂಡು
मुझे भूख लगी है,ಎಂಕ್ ಬಡ ಆವೊಂದುಂಡು
अंदर आ जाइए,ಉಲಾಯಿ ಬಲೆ
"ठीक है, आपसे अगली बार मिलता हूँ","ಸರಿ,ಬೊಕ್ಕ ತಿಕ್ಗ"
मैं छुट्टी पर हूँ,ಯಾನ್ ರಜೆಡ್ ಉಲ್ಲೆ
मैं यहाँ काम करने आया हूँ,ಯಾನ್ ಬೇಲೆ ಮಲ್ಪೆರೆ ಇಡೆಗ್ ಬೈದೆ
मुझे संगीत सुनना पसन्द है,ಎಂಕ್ ಸಂಗೀತ ಕೇನ್ರೆ ಇಷ್ಟ
आपको अपने खाली समय में क्या करना पसंद है?,ನಿಕ್ಲೆನ ಬಿಡುವಿನ ಸಮಯೊಡು ದಾದ ಮಲ್ಪೆರೆ ಇಷ್ಟ?
आप से बात कर अच्छा लगा।,ಇರ್ನೊಟ್ಟುಗೆ ಪಾತೆರ್ದ್ ಖುಶಿ ಆಂಡ್
मुझे पता नहीं है,ಎಂಕ್ ದಾಲ ಗೊತ್ತುಜ್ಜಿ
अभी बारिश हो रही है,ಇತ್ತೆ ಬರ್ಸ ಬರ್ಪುಂಡು
आसमान,ಆಕಾಶ
पवन,ಗಾಳಿ
खिड़की,ಕಂಡಿ
दरवाजा,ಬಾಕಿಲ್
सफर,ತಿರ್ಗಾಟ
बच्चा,ಬಾಲೆ
परिवार,ಕುಟುಂಬ
दोस्त,ಸ್ನೇಹಿತೆ
पड़ोसी,ನೆರೆಕರೆ
खुशी,ಖುಷಿ
दुख,ದುಃಖ
प्यार,ಪ್ರೀತಿ
नफरत,ಪಗೆತ
गर्म,ಬೆಚ್ಚ
ठंडा,ಚಳಿ
सुबह,ಕಾಂಡೆ
रात,ರಾತ್ರೆ
शाम,ಬಯ್ಯ
नदी,ಸುದೆ
समुद्र,ಕಡಲ್
पहाड़,ಪರ್ವತ
किताब,ಪುಸ್ತಕ
कागज,ಕಾಕಜಿ
कलम,ಪೆನ್ನ್
लिखना,ಬರೆಲೆ
पढ़ना,ಓದುನು
सिखाना,ಕಲ್ಪಾವುನ
खेलना,ಆಟ
मैदान,ಕ್ಷೇತ್ರೊ
जंगल,ಕಾಡ್
जानवर,ಪ್ರಾಣಿ
पक्षी,ಪಕ್ಕಿ
मछली,ಮೀನ್
घोड़ा,ಕುದುರೆ
कुत्ता,ನಾಯಿ
बिल्ली,ಪುಚ್ಚೆ
गाय,ಪೆತ್ತ
बकरी,ಏಡ್
खरगोश,ಮುಗ್ಗೆರ್
शेर,ಸಿಮ
हाथी,ಆನೆ
खरगोश,ಮುಗ್ಗೆರ್
ऊंट,ಒಂಟೆ
चीता,ಪಿಲಿ
बंदर,ಮಂಗೆ
भेड़,ಕುರಿತ ಕಿನ್ನಿ
साँप,ಉಚ್ಚು
मकड़ी,ಜೇಡ
पेड़,ಮರ
पौधा,ದೈ
फल,ಪರ್ ನ್ದ್
सब्जी,ತರ್ಕಾರಿ
खाना,ತಿನ್
पानी,ನೀರ್
दूध,ಪೇರ್
रोटी,ರೊಟ್ಟಿ
अचार,ಉಪ್ಪಿನಕಾಯಿ
मिठाई,ತೀಪೆ
नमकीन,ಉಪ್ಪುದ
खट्टा,ಪುಲಿ
मीठा,ತೀಪೆ
तीखा,ಮಸಾಲೆದ
रंग,ಬಣ್ಣ
सफेद,ಬೊಳ್ದು
काला,ಕಪ್ಪು
नीला,ನೀಲಿ
हरा,ಪಚ್ಚೆ
लाल,ಕೆಂಪು
पीला,ಮಂಜಲ್
नारंगी,ಕಿತ್ತಲೆ
गुलाबी,ಗುಲಾಬಿ
बैंगनी,ನೇರಳೆ
भूरा,ತೌಡು
सोना,ಜೆಪ್ಪು
चांदी,ಬೊಲ್ಲಿ
तांबा,ತಾಮ್ರ
लोहा,ಕರ್ಬ
हीरा,ವಜ್ರ
मोती,ಮುತ್ತು
पत्थर,ಕಲ್ಲ್
मिट्टी,ಮಣ್ಣ್
धूल,ಧೂಳು
आंधी,ಬಿರುಗಾಳಿ
तूफान,ಚಂಡಮಾರುತ
बरसात,ಬರ್ಸ
बर्फ,ಐಸ್
